ids,l_id,r_id,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_exact_sim,title_all_missing,year_days_sim,year_years_sim,year_days_diff_sim,year_all_missing,length_num_abs_diff_sim,length_num_sim,length_all_missing,artist_lev_sim,artist_jac_q3_sim,artist_jac_an_sim,artist_exact_sim,artist_all_missing,language_lev_sim,language_jac_q3_sim,language_jac_an_sim,language_exact_sim,language_all_missing,album_lev_sim,album_jac_q3_sim,album_jac_an_sim,album_exact_sim,album_all_missing,number_lev_sim,number_jac_q3_sim,number_jac_an_sim,number_exact_sim,number_all_missing,sum_weighted_scores
m3pp_3302_1869,m3pp_3302,1869,0,0.16666666666666663,0.09090909090909091,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9997181922029821,0.0,0,0.09090909090909094,0.0,0.0,0.0,0,0.125,0.058823529411764705,0.0,0.0,0,0.125,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.07180521825436427
m3pp_1068_980,m3pp_1068,980,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,0.999808773280595,0.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,0.5,0.16666666666666666,0.0,0.0,0,0.07268741368526281
m3pp_3036_3177,m3pp_3036,3177,0,0.13043478260869568,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9996980630746237,0.0,0,0.08695652173913049,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.23076923076923073,0.07692307692307693,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.06630191948574471
m3pp_3358_1669,m3pp_3358,1669,0,0.17647058823529416,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.125,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.1578947368421053,0.05263157894736842,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,0,0.031660778478397635
m3pp_548_2321,m3pp_548,2321,0,0.16666666666666663,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,1,-1.0,-1.0,0,0.08333333333333337,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0714285714285714,0.0,0.0,0.0,0,0.5,0.16666666666666666,0.0,0.0,0,0.045879807757751793
m3pp_241_2202,m3pp_241,2202,0,0.17647058823529416,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.999375997020889,0.0,0,0.2068965517241379,0.022222222222222223,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.2941176470588235,0.058823529411764705,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0771444147260955
m3pp_2646_2034,m3pp_2646,2034,0,0.125,0.03571428571428571,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9998289024089534,0.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0,0.19298245614035092,0.09859154929577464,0.08333333333333333,0.0,0,0.0,0.0,0.0,0.0,0,0.23854724552636333
m3pp_482_3804,m3pp_482,3804,0,0.2666666666666667,0.06,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.999758450459699,0.0,0,0.5517241379310345,0.30434782608695654,0.2857142857142857,0.0,0,1.0,1.0,1.0,1.0,0,0.22413793103448276,0.05660377358490566,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.29483572858358525
m3pp_2008_2335,m3pp_2008,2335,0,0.2777777777777778,0.03225806451612903,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9999647740253728,0.5,0,0.23076923076923073,0.041666666666666664,0.0,0.0,0,1.0,1.0,1.0,1.0,0,0.5384615384615384,0.4375,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0,0.322687258505893
m3pp_1539_810,m3pp_1539,810,0,0.1333333333333333,0.043478260869565216,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9989381884790934,0.0,0,0.11111111111111116,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0,0.3513513513513513,0.2222222222222222,0.1111111111111111,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.25887035842653994
