ids,l_id,r_id,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_exact_sim,title_all_missing,year_days_sim,year_years_sim,year_days_diff_sim,year_all_missing,length_num_abs_diff_sim,length_num_sim,length_all_missing,artist_lev_sim,artist_jac_q3_sim,artist_jac_an_sim,artist_exact_sim,artist_all_missing,language_lev_sim,language_jac_q3_sim,language_jac_an_sim,language_exact_sim,language_all_missing,album_lev_sim,album_jac_q3_sim,album_jac_an_sim,album_exact_sim,album_all_missing,number_lev_sim,number_jac_q3_sim,number_jac_an_sim,number_exact_sim,number_all_missing,sum_weighted_scores
m3pp_1742_m1pp_2993,m3pp_1742,m1pp_2993,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9996175138399598,0.0,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,0.33333333333333337,0.0,0.0,0.0,0,0.06900377620066955
m3pp_2458_m1pp_324,m3pp_2458,m1pp_324,0,0.16666666666666663,0.02040816326530612,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9987166582788123,0.0,0,0.04347826086956519,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0714285714285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.06724151925601464
m3pp_3407_m1pp_2171,m3pp_3407,m1pp_2171,0,0.09999999999999998,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9988374433819829,0.0,0,0.25,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.125,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.07723820891397536
m3pp_2881_m1pp_574,m3pp_2881,m1pp_574,0,0.5,0.29411764705882354,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.19999999999999996,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.33333333333333337,0.06060606060606061,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0763686187688222
m3pp_101_m1pp_180,m3pp_101,m1pp_180,0,0.19047619047619047,0.030303030303030304,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9984599899345747,0.0,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.38888888888888884,0.2962962962962963,0.25,0.0,0,0.0,0.0,0.0,0.0,0,0.11617616659384379
m3pp_1247_m1pp_3807,m3pp_1247,m1pp_3807,0,0.2222222222222222,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9999144438852542,0.0,0,0.33333333333333337,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.11111111111111116,0.02702702702702703,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.08996848094466955
m3pp_3784_m1pp_2998,m3pp_3784,m1pp_2998,0,0.5,0.3125,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9999949672873679,0.5,0,0.18181818181818177,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.33333333333333337,0.14285714285714285,0.0,0.0,0,0.1617657144306597
m3pp_2041_m1pp_2621,m3pp_2041,m1pp_2621,0,0.2325581395348837,0.1388888888888889,0.1,0.0,0,-1.0,-1.0,-1.0,0,0.9988978359335682,0.0,0,0.21739130434782605,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.6875,0.4782608695652174,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0,0.17566442550366052
m3pp_1742_m1pp_2309,m3pp_1742,m1pp_2309,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9996175138399598,0.0,0,0.7777777777777778,0.3333333333333333,1.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.11428571428571432,0.0,0.0,0.0,0,0.33333333333333337,0.0,0.0,0.0,0,0.19791455104615993
m3pp_3351_m1pp_508,m3pp_3351,m1pp_508,0,0.25,0.08333333333333333,0.125,0.0,0,-1.0,-1.0,-1.0,0,0.9993004529441369,0.0,0,0.625,0.40425531914893614,0.3333333333333333,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.2149532710280374,0.0945945945945946,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.17311197532086545
m3pp_265_m1pp_2028,m3pp_265,m1pp_2028,0,0.19999999999999996,0.08333333333333333,0.16666666666666666,0.0,0,-1.0,-1.0,-1.0,0,0.999859084046301,0.0,0,0.1875,0.034482758620689655,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,1,0.5428571428571429,0.3137254901960784,0.375,0.0,0,0.0,0.0,0.0,0.0,0,0.1594035043560758
m3pp_1129_m1pp_1715,m3pp_1129,m1pp_1715,0,0.5625,0.45,0.5,0.0,0,-1.0,-1.0,-1.0,1,0.999954705586311,0.5,0,0.13793103448275867,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.33333333333333337,0.0,0.0,0.0,0,0.19160259578104588
m3pp_472_m1pp_2434,m3pp_472,m1pp_2434,0,0.30000000000000004,0.09090909090909091,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9999949672873679,0.5,0,0.9,0.7692307692307693,0.3333333333333333,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.18181818181818177,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.22586528929408675
m3pp_1687_m1pp_1619,m3pp_1687,m1pp_1619,0,0.9285714285714286,0.8235294117647058,0.6,0.0,0,-1.0,-1.0,-1.0,0,0.9999899345747357,0.5,0,0.2222222222222222,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.20833333333333337,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.23795278190562838
m3pp_2453_m1pp_3411,m3pp_2453,m1pp_3411,0,0.2666666666666667,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9999949672873679,0.5,0,0.16666666666666663,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.48275862068965514,0.26666666666666666,0.42857142857142855,0.0,0,0.0,0.0,0.0,0.0,0,0.16935490484099228
m3pp_74_m1pp_7,m3pp_74,m1pp_7,0,0.8181818181818181,0.6666666666666666,0.6666666666666666,0.0,0,-1.0,-1.0,-1.0,0,0.9998842476094615,0.0,0,0.16666666666666663,0.037037037037037035,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.2142857142857143,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.19872439172310333
m3pp_2131_m1pp_1008,m3pp_2131,m1pp_1008,0,0.15000000000000002,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.999954705586311,0.5,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.5217391304347826,0.375,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0.1711970939253538
m3pp_461_m1pp_1406,m3pp_461,m1pp_1406,0,0.18181818181818177,0.05263157894736842,0.14285714285714285,0.0,0,-1.0,-1.0,-1.0,1,0.9990790135883241,0.0,0,0.9523809523809523,0.8,0.6,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.5531914893617021,0.1518987341772152,0.14285714285714285,0.0,0,0.0,0.0,0.0,0.0,0,0.256631284504527
m3pp_1821_m1pp_756,m3pp_1821,m1pp_756,0,0.25,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9999748364368395,0.5,0,0.7741935483870968,0.9629629629629629,1.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.28,0.15625,0.2,0.0,0,0.33333333333333337,0.14285714285714285,0.0,0.0,0,0.3137164912624018
m3pp_1163_m1pp_2423,m3pp_1163,m1pp_2423,0,0.25,0.07142857142857142,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9996426774031203,0.0,0,0.1333333333333333,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.30549122874476003
m3pp_748_m1pp_67,m3pp_748,m1pp_67,0,0.16901408450704225,0.03333333333333333,0.07142857142857142,0.0,0,-1.0,-1.0,-1.0,1,0.9984448917966784,0.0,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.1607142857142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.30669317600346147
m3pp_187_m1pp_3274,m3pp_187,m1pp_3274,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,0,0.9989884247609462,0.0,0,0.18181818181818177,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.23529411764705888,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.30583071486257735
m3pp_2131_m1pp_1479,m3pp_2131,m1pp_1479,0,0.30000000000000004,0.08333333333333333,0.3333333333333333,0.0,0,-1.0,-1.0,-1.0,1,0.9999748364368395,0.5,0,0.08333333333333337,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.7,0.43333333333333335,0.6,0.0,0,0.5,0.16666666666666666,0.0,0.0,0,0.2608179806130846
m3pp_2787_m1pp_1973,m3pp_2787,m1pp_1973,0,0.1842105263157895,0.04,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9990538500251636,0.0,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.2068965517241379,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3064982361077075
m3pp_2272_m1pp_1298,m3pp_2272,m1pp_1298,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,1,0.9992551585304479,0.0,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,0.33333333333333337,0.0,0.0,0.0,0,0.30099843413650174
m3pp_69_m1pp_2575,m3pp_69,m1pp_2575,0,0.3589743589743589,0.2558139534883721,0.4166666666666667,0.0,0,-1.0,-1.0,-1.0,0,0.9998439859084046,0.0,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.1964285714285714,0.064,0.05555555555555555,0.0,0,0.33333333333333337,0.0,0.0,0.0,0,0.37879636096104724
m3pp_107_m1pp_1065,m3pp_107,m1pp_1065,0,0.1923076923076923,0.02247191011235955,0.0,0.0,0,-1.0,-1.0,-1.0,1,0.9993306492199295,0.0,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.27586206896551724,0.0,0.0,0.0,0,0.33333333333333337,0.14285714285714285,0.0,0.0,0,0.3373185397274902
m3pp_3141_m1pp_980,m3pp_3141,m1pp_980,0,0.27586206896551724,0.018867924528301886,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9996074484146955,0.0,0,1.0,1.0,1.0,1.0,0,-1.0,-1.0,-1.0,-1.0,0,0.25,0.0,0.0,0.0,0,0.6666666666666667,0.2857142857142857,0.0,0.0,0,0.36788743721727035
