ids,gender_lev_sim,gender_jac_q3_sim,gender_jac_an_sim,gender_rel_jac_an_sim,gender_containment_sim,gender_exact_sim,deathdate_days_diff_sim,deathdate_months_diff_sim,deathdate_years_diff_sim,work_cosine_tfidf_sim,work_lev_sim,work_jac_q3_sim,work_jac_an_sim,work_rel_jac_an_sim,work_containment_sim,work_exact_sim,birthdate_days_diff_sim,birthdate_months_diff_sim,birthdate_years_diff_sim,name_lev_sim,name_jac_q3_sim,name_jac_an_sim,name_rel_jac_an_sim,name_containment_sim,name_exact_sim,label
dbp_12162_wiki_644,1.0,1.0,1.0,1.0,1.0,1.0,0.9861220089245605,0.9860541427399507,0.9857768052516411,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9836678059358125,0.9836365298473352,0.9835345773874863,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0
dbp_14276_wiki_26971,1.0,1.0,1.0,1.0,1.0,1.0,0.9999910155431104,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.6666666666666667,0.30434782608695654,0.0,0.3333333333333333,0.0,0.0,1
dbp_101_wiki_29295,1.0,1.0,1.0,1.0,1.0,1.0,0.9858944026833578,0.9859629933460943,0.9857768052516411,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9583315813816592,0.9583142883261724,0.9582875960482986,0.4545454545454546,0.08333333333333333,0.0,0.25,0.0,0.0,0
dbp_51_wiki_23690,1.0,1.0,1.0,1.0,1.0,1.0,0.8135485609894881,0.8135083401695379,0.8129102844638949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7894354310702122,0.7894688728402962,0.7892425905598244,0.46153846153846156,0.21739130434782608,0.3333333333333333,0.3333333333333333,0.5,0.0,0
dbp_31237_wiki_30455,0.6333333333333334,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0
dbp_21_wiki_19126,0.6333333333333334,0.4,0.0,0.0,0.0,0.0,0.9629720583390734,0.9629933460942485,0.962800875273523,0.0,0.05860113421550095,0.009324009324009324,0.0,0.0,0.0,0.0,0.9857341077960848,0.9857390986379011,0.9857299670691547,0.4117647058823529,0.13793103448275862,0.0,0.3333333333333333,0.0,0.0,0
dbp_8444_wiki_12336,1.0,1.0,1.0,1.0,1.0,1.0,0.9958521757359767,0.9958982772764561,0.9956236323851203,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9822592367897838,0.9822652893317488,0.9824368825466521,0.25,0.02564102564102564,0.0,0.0,0.0,0.0,0
dbp_7_wiki_11179,1.0,1.0,1.0,1.0,1.0,1.0,0.9867688898206104,0.9867833378908031,0.986870897155361,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9991860933079451,0.9992686717250205,1.0,0.44999999999999996,0.12121212121212122,0.0,0.3333333333333333,0.0,0.0,0
dbp_94_wiki_8624,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9996245817841075,0.9996343358625103,1.0,0.5333333333333333,0.28,0.25,0.25,0.5,0.0,0
dbp_92_wiki_13930,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0714285714285714,0.011111111111111112,0.0,0.0,0.0,0.0,0.9390350850847844,0.93902550507359,0.9385290889132821,0.4285714285714286,0.2857142857142857,0.25,0.25,0.5,0.0,0
