m2_id,m2_cid,m2_number,m2_length,m2_title,m2_artist,m2_album,m2_year,m2_language,m2_filtering_attr
m2_0,1,9,219,Daniel Balavoine - L'enfant aux yeux d'Italie,,De vous à elle en passant par moi,75,French,danielbalavoinelenfantauxyeuxditalie#devousàelleenpassantparmoi
m2_1,2,17,129,Action PAINTING! - Mustard Gas,,There and Back Again Lane,95,English,actionpaintingmustardgas#thereandbackagainlane
m2_2,2136,11,177,Bruce Maginnis - Sttreet Hype,,Groove City,05,English,brucemaginnissttreethype#groovecity
m2_3,6,9,242,Luce Dufault - Ballade à donner,,Luce Dufault,96,French,lucedufaultballadeàdonner#lucedufault
m2_4,11,14,188,Marlene Dietrich - Wo ist der Mann?,,Die frühen Aufnahmen,,[Multiple languages],marlenedietrichwoistdermann#diefrühenaufnahmen
m2_5,2142,12,145,Al Hirt - Tansy,,Greatest Hits,01,Engliish,alhirttansy#greatesthits
m2_6,16,3,162,Clouseau - Anne,,"De Pre Historie 1989, Volume 3",00,[Multiple languages],clouseauanne#deprehistorie1989volume3
m2_7,5498,2,350,Tony Rice - Urge for Going,,Night Flyer,08,English,tonyriceurgeforgoing#nightflyer
m2_8,18,18,240,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",,Tabu Recz,,,tabureczduikksejdinpikerikklangviskyderdig#taburecz
m2_9,20,2,249,Wayanay - Andes Cosmos,,Treasures Of The Incas (Andes Cosmos),,,wayanayandescosmos#treasuresoftheincas
m2_10,21,4,,Special Feature Including A Hybrid Documentary,Hybrid,Morning_Sci-Fi,3,English,specialfeatureincludingahybriddocumentaryhybridmorningscifi
m2_11,1085,10,242,CharlyGarcíaNobombardeenBuenosAires,,Oro: Grandes éxitos,03,Spanish,charlygarcíanobombardeenbuenosaires#orograndeséxitos
m2_12,83,,150,Lowland Trio - Van mij kan je de pot op,,Hollands Glorie: Lowland Trio,02,Dutch,lowlandtriovanmijkanjedepotop#hollandsglorielowlandtrio
m2_13,3059,1 1,344,Power of Dreams - Sky,,Become Yourself,,English,powerofdreamssky#becomeyourself
m2_14,26,13,333,Amikaeyla and Trelawny Rose - Wonderful World,,"To Eva, With Love",11,English,amikaeylaandtrelawnyrosewonderfulworld#toevawithlove
m2_15,6178,10,109,Sinkhole - Wreck on the Highway,,Groping for Trout,92,English,sinkholewreckonthehighway#gropingfortrout
m2_16,36,8,319,Selffish - Sound Judgement,,electronica@*.lv,03,English,selffishsoundjudgement#electronica@*lv
m2_17,9071,5,163,Sam Cooke - You Send Me,,The Greatest Soul Collection,06,English,samcookeyousendme#thegreatestsoulcollection
m2_18,37,12,240,Domenico Modugno - La distania es como el viento,,Románticos Inolvidables Vol 2,,Spanish,domenicomodugnoladistaniaescomoelviento#románticosinolvidablesvol2
m2_19,38,2,270,Lark Daddy - Flip Flop,,Eleven Phases: Detroit Compilation,98,English,larkdaddyflipflop#elevenphasesdetroitcompilation
m2_20,42,B1,266,Uriah Heep - Southern Star,,Into the Wild,11,English,uriahheepsouthernstar#intothewild
m2_21,43,8,681,Guns N’ Roses - Estranged,,Revolution Calling,91,English,gunsn’rosesestranged#revolutioncalling
m2_22,5503,22,188,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),,Ballet- Hits,95,English,игорьфёдоровичстравинскийfirebirdfinale#ballethits
m2_23,5803,11,151,Carbona -  1001 Doses (Até Você Voltar),,Taito Não Engole Fichas,03,Portuguese,carbona1001doses#taitonãoengolefichas
m2_24,5404,4,297,Dimitri From Paris - Nothing to Lose,,Sacrebleu,98,French,dimitrifromparisnothingtolose#sacrebleu
m2_25,51,3,227,Tropical Dudes - Busybodies,,Tropical Monsters,08,English,tropicaldudesbusybodies#tropicalmonsters
m2_26,8680,6,169,Uroš Rakovec Trio - Tako lepo bo,,Poganjki,09,,urošrakovectriotakolepobo#poganjki
m2_27,404,4,623,Пётр Ильич Чайковский - Pas d'action,,Dornröschen / Der Zauberladen,,,пётрильиччайковскийpasdaction#dornröschenderzauberladen
m2_28,58,1,276,Molly Half Head - Vivid Whitsun,,Sulk,93,English,mollyhalfheadvividwhitsun#sulk
m2_29,1096,6,290,Sacred Spirit - Yane-Heja-Hee,,More Chants and Dances of the Native Americans,00,English,sacredspirityanehejahee#morechantsanddancesofthenativeamericans
m2_30,63,4,167,aMnassas - Johnny's Garden,,Carry On,98,English,amnassasjohnnysgarden#carryon
m2_31,64,9,,Symphony X - Of Sins and Shadows,,"2003-04-17: Langen, Germany",,English,symphonyxofsinsandshadows#20030417langengermany
m2_32,6997,19,159,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,,Bluegrass Bonanza,01,English,lesterflatt&earlscruggsimgoingtomakeheavenmyhome#bluegrassbonanza
m2_33,70,5,239,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,,Mega Celtique,06,English,bagadroñsedmorgavotenarvroboulet#megaceltique
m2_34,72,4,175,Coffin Nails - Daytime TV,,Out for the Weekend,01,English,coffinnailsdaytimetv#outfortheweekend
m2_35,74,6,148,Ser Un Peyjalero - Peyjalero,,U,93,nEglish,serunpeyjaleropeyjalero#u
m2_36,935,16,107,岩崎文紀 - 深海の精,,あまえないでよっ!! さんとら冬盤,06,Japanese,岩崎文紀深海の精#あまえないでよっさんとら冬盤
m2_37,5575,12,,The Pair Extraonrdinaire - I'm a Believer,,It's a Wonderful World,67,English,thepairextraonrdinaireimabeliever#itsawonderfulworld
m2_38,75,14,190,André HazesR - Ik ben een gokker,,De Hazes 100: Van de fans - Voor de fans,06,Dutch,andréhazesrikbeneengokker#dehazes100vandefansvoordefans
m2_39,406,9,231,Herb Alpert - Silent Tears And Roses,,Midnight Sun,92,English,herbalpertsilenttearsandroses#midnightsun
