m1pp_id,m1pp_cid,m1pp_number,m1pp_length,m1pp_title,m1pp_artist,m1pp_album,m1pp_year,m1pp_language,m1pp_filtering_attr
m1pp_0,5371,011,244,Scottish Fantasy: Adagio cantabile,Max Bruch,"The Classical Album, Volume 1",1996,,scottishfantasyadagiocantabilemaxbruchtheclassicalalbumvolume1
m1pp_1,14,021,219,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,,amnerisintroeverystoryisalovestoryheatherheadleyitscheesyeasyaslife
m1pp_2,2151,008,86,Outro,FeSo,Working Title,2011,,outrofesoworkingtitle
m1pp_3,15,003,225,10cm,Anemone,10cm,2013,,10cmanemone10cm
m1pp_4,17,010,156,Placebo Persuasion,Caesura,"More Specific, Less Pacific",2002,,placebopersuasioncaesuramorespecificlesspacific
m1pp_5,19,016,141,Lass Mich Nie Wieder Weinen,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,,lassmichniewiederweinenpeggybrowndennsiefahrenhinausaufdasmeer
m1pp_6,22,002,0,I could easily fall in love with you,LittleTony,Cuore mattoo,1997,,icouldeasilyfallinlovewithyoulittletonycuoremattoo
m1pp_7,23,013,276,Still in love with you,Chris Willis,With This Ring… Forever I Do,2002,,stillinlovewithyouchriswilliswiththisring…foreverido
m1pp_8,5969,043,9,Style Talks,Keith Mansfield,Swing of the City,,,styletalkskeithmansfieldswingofthecity
m1pp_9,27,011,297,Praia nua,Jorge Vercilo,Ensaio - Signo de ar,2005,,praianuajorgeverciloensaiosignodear
m1pp_10,7345,001,215,Starship Troopers,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,,starshiptroopers
m1pp_11,2783,003,0,Bring Back the Love,Laura Harris,Bring Back the Love,1998,,bringbackthelovelauraharrisbringbackthelove
m1pp_12,6563,001,281,Takin' My Time,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,,takinmytimetompettyandtheheartbreakerskissmyampslive
m1pp_13,7586,007,403,Vuelo,Skatebård,"Remix You, Remix Me",2010,,vueloskatebårdremixyouremixme
m1pp_14,3371,005,317,Pitch Black,X-Fusion,Rotten to the Core,2007,,pitchblackxfusionrottentothecore
m1pp_15,39,008,162,'Pines of Rome' - The Pines of the Villa Borghese,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,,pinesofromethepinesofthevillaborgheseottorinorespighidebussylamer&respighipinesandfountainsofromercals1995
m1pp_16,5576,006,160,June Is Bustin' Out All Over,Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",1957,,juneisbustinoutalloverhillbowen&hisorchestraforhifilivingvolume5loveonbroadway
m1pp_17,4384,013,50,The Handiest Frenchman in the Caribbean,Jimmy Buffett,Don't Stop the Carnival,1998,,thehandiestfrenchmaninthecaribbeanjimmybuffettdontstopthecarnival
m1pp_18,65,011,182,Apache,On Stage / In Studio,On Stage / In Studio,2012,,apacheonstageinstudioonstageinstudio
m1pp_19,905,002,520,The Power of Love,Frankie Goes to Hollywood,The Power of Love,1990,,thepoweroflovefrankiegoestohollywoodthepoweroflove
m1pp_20,7769,003,237,War,AG & Party Arty,Art of War War,2002,,warag&partyartyartofwarwar
m1pp_21,3341,010,215,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off,FallOutBoy,Now That's What I Call Music 26,2008,,imlikealawyerwiththewayimalwaystryingtogetyouofffalloutboynowthatswhaticallmusic26
m1pp_22,2978,009,265,Acting,Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,,actingmacrosick20050402thespanishmoonbatonrougelausa
m1pp_23,62,004,0,ホームワーク,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,,ホームワーク松任谷由実anniversary〜無限にcallingyou
m1pp_24,7847,010,199,Basin Street Blues,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1994,,basinstreetblueslouisarmstrongthequintessencenewyork–chicago19251940
m1pp_25,458,001,201,Semblance,Klaus Suonsaari,Portrait in Sound,,,semblanceklaussuonsaariportraitinsound
m1pp_26,2744,003,199,Evolution Fight,CYNE,Creating Your New Environment,2005,,evolutionfightcynecreatingyournewenvironment
m1pp_27,5594,012,176,A csend,Tátrai Band,A hold szerelme,1995,,acsendtátraibandaholdszerelme
m1pp_28,73,008,229,Liquor Store Blues,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,,liquorstorebluesbrunomarsfeatdamianmarleydoowops&hooligans
m1pp_29,333,007,251,Confession,Jack Radics,Always Around,,,confessionjackradicsalwaysaround
m1pp_30,76,9,32,Skit,Steen1,Runoja kontrollihuoneesta,2009,,skitsteen1runojakontrollihuoneesta
m1pp_31,9,002,381,Particle/Wave,Lunchbox,Evolver,2002,,particlewavelunchboxevolver
m1pp_32,81,006,299,You,Violet Indiana,Russian Doll,2004,,youvioletindianarussiandoll
m1pp_33,84,006,232,Megna's,Tim O’Brien,Chameleon,2008,,megnastimo’brienchameleon
m1pp_34,3379,001,111,Voodoo Lovers,Hurricäde,Hurricäde,2008,,voodoolovershurricädehurricäde
m1pp_35,91,003,104,We Are the Prisoners,Kids,Anthology,2007,,wearetheprisonerskidsanthology
m1pp_36,1728,002,145,Watermusic Suite: Adagio e staccato,George Frideric Handel,Watermusic Suite / Music of the Royal Fireworks,,,watermusicsuiteadagioestaccatogeorgefriderichandelwatermusicsuitemusicoftheroyalfireworks
m1pp_37,1764,001,356,Nattestid ser porten vid 1,Taaake,Nattestid…,2007,,nattestidserportenvid1taaakenattestid…
m1pp_38,6718,012,188,Ritardo mestruale,Checco Zalone,...Se non avrei fatto il cantande,,,ritardomestrualecheccozalonesenonavreifattoilcantande
m1pp_39,102,001,185,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro",Wolfgang Amadeus Mozart,Frühe Symphonien,1991,,symphonienr10gdurkv74iallegrowolfgangamadeusmozartfrühesymphonien
m1pp_40,104,010,380,"Rusalka, op. 114 B203: Song to the moon",Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2004,,rusalkaop114b203songtothemoonantoníndvořák100thanniversaryeditionconcertosrequiemserenades&slavonicdances
m1pp_41,9275,018,0,Amanhã Vazio,Hugo Pena & Gabriel,Nosso Amor Já Era,2011,,amanhãvaziohugopena&gabrielnossoamorjáera
m1pp_42,116,010,147,Ultimate Angels,Strange Advance,The Distance Between,,,ultimateangelsstrangeadvancethedistancebetween
m1pp_43,7145,006,280,I Don't Want to Say Goodbye,Fat and Frantic,Sing the Very Best of Wendy Craig,,,idontwanttosaygoodbyefatandfranticsingtheverybestofwendycraig
m1pp_44,136,001,244,Λαβωματιά,Νότης Μαυρουδής,Στην ηχώ του έρωτα,2002,,λαβωματιάνότηςμαυρουδήςστηνηχώτουέρωτα
m1pp_45,138,001,136,On a Clear Day,久石譲,Kiki's Delivery Service,,,onaclearday久石譲kikisdeliveryservice
m1pp_46,9383,010,0,Origines,Mélissa M & Amine,Raï'n'b Fever 3,2008,,originesmélissam&amineraïnbfever3
m1pp_47,5309,007,168,Evil Evol,Power of Dreams,Positivity,,,evilevolpowerofdreamspositivity
m1pp_48,146,009,380,Iyole,Kanda Bongo Man,Afrique Dynamique,2001,,iyolekandabongomanafriquedynamique
m1pp_49,153,008,275,CC Rider,Honeyboy Hickling,Bare Tracks,,,ccriderhoneyboyhicklingbaretracks
m1pp_50,5712,001,145,Nav' Nav' in Ou Wells),Drudkh,Blood in Our Wells,,,navnavinouwells)drudkhbloodinourwells
m1pp_51,2293,003,304,Vengo a Dicer,Andy,Vengo a Decir,1995,,vengoadicerandyvengoadecir
m1pp_52,161,002,0,ピンぼけ,高田梢枝,渋滞ぬけみちなし,2004,,ピンぼけ高田梢枝渋滞ぬけみちなし
m1pp_53,1658,004,670,If I Gave My Heart to You / Once in a While / Ebb Tide / The Lamp Is Low / Where Are You / Thinking of You,Ella Fitzgerald,30 by Ella,1999,,ifigavemyhearttoyouonceinawhileebbtidethelampislowwhereareyouthinkingofyouellafitzgerald30byella
m1pp_54,166,010,266,In My Lifetime,Soulja Flow,My Promise to the Game in My Lifetime,2000,,inmylifetimesouljaflowmypromisetothegameinmylifetime
m1pp_55,168,002,117,Diamond Head,Lost Souls,"History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story",1994,,diamondheadlostsoulshistoryofmichigangaragebandsinthe60svolume1wheels4labelstory
m1pp_56,169,014,52,Gorrendously Mutilated,Agoraphobic Nosebleed,"Bestial Machinery Discography, Volume 1",2005,,gorrendouslymutilatedagoraphobicnosebleedbestialmachinerydiscographyvolume1
m1pp_57,171,007,186,Ya están aquí,Hablando en Plata Squad,Libertad / Hambre / Historia,2009,unknown,yaestánaquíhablandoenplatasquadlibertadhambrehistoria
m1pp_58,1034,019,1,[silence],Phono-Comb & Jad Fair,"Monsters, Lullabies ... and the Occasional Flying Saucer",1996,,silencephonocomb&jadfairmonsterslullabiesandtheoccasionalflyingsaucer
m1pp_59,4344,016,145,Billie Jean,XL Dog,Dancemania BASS #6,,,billiejeanxldogdancemaniabass#6
m1pp_60,177,013,171,Sunflower,Glen Campbell,His Greatest Hits,,,sunflowerglencampbellhisgreatesthits
m1pp_61,178,001,0,Ooh La La,Faces,Stay With Me: Faces Anthology,2012,,oohlalafacesstaywithmefacesanthology
m1pp_62,180,001,172,Images,Nina Simone,Ultimate Nina Simone,1997,,imagesninasimoneultimateninasimone
m1pp_63,184,004,715,Symphonie No. 9: IV. Allegro con fuoco,Antonín Dvořák,Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra),,,symphonieno9ivallegroconfuoco
m1pp_64,191,013,321,Mökit nukkuu lumiset,Sakari Kukko,Joulu,2003,,mökitnukkuulumisetsakarikukkojoulu
m1pp_65,199,004,190,Perfect Spot,Jason Manns,Jason Manns,,,perfectspotjasonmannsjasonmanns
m1pp_66,202,013,81,There's a Drill Sergeant There,Sun Harbor's Chorus,Marching Cadences of the U.S. Army Infantry,2002,,theresadrillsergeanttheresunharborschorusmarchingcadencesoftheusarmyinfantry
m1pp_67,3296,015,631,Prelude et fugue BWV 887,Johann Sebastian Bach,Clavier bien tempéré,,,preludeetfuguebwv887johannsebastianbachclavierbientempéré
m1pp_68,209,020,217,Fire Trees,Chris Gibbons,Voices of the World,,,firetreeschrisgibbonsvoicesoftheworld
m1pp_69,210,019,0,Take Away Your Rosy Lips,Hardrock Gunter,"Gonna Rock 'n' Roll, Gonna Dance All Night",2000,,takeawayyourrosylipshardrockguntergonnarocknrollgonnadanceallnight
m1pp_70,9706,008,241,Funkytown,"Lipps, Inc.",Absolute Disco: Alle Tiders Største Disco Hits,2007,,funkytownlippsincabsolutediscoalletidersstørstediscohits
m1pp_71,217,010,148,Misty Space,Ninni Morgia,Ninni Morgia Control Unit,2009,,mistyspaceninnimorgianinnimorgiacontrolunit
m1pp_72,5894,012,257,Päivä kerrallaan,Pate Mustajärvi,Patentoitu,2013,,päiväkerrallaanpatemustajärvipatentoitu
m1pp_73,223,006,201,Turning,Glass America,Fathom,,,turningglassamericafathom
m1pp_74,3132,013,268,Tecumseh Valley,Steve Earle,Train a C omin’,1995,,tecumsehvalleysteveearletrainacomin’
m1pp_75,4806,017,195,Gravy,Ministers De La Funk,Big City Beats 16,2012,,gravyministersdelafunkbigcitybeats16
m1pp_76,230, 007,108,In the Summertime,Roger Miller,King of the Road: The Best of Roger Miller,1992,,inthesummertimerogermillerkingoftheroadthebestofrogermiller
m1pp_77,3567,005,224,Dime Como,Luis Fonsi,Comenzare,,,dimecomoluisfonsicomenzare
