m5_id,m5_cid,m5_number,m5_length,m5_title,m5_artist,m5_album,m5_year,m5_language,m5_filtering_attr
m5_0,3,10,unk.,Your Grace,Kathy Troccoli,Comfort,2005,English,yourgracekathytroccolicomfort
m5_1,4,2,321266,Well You Needn't,Ernie Stadler Jazz Quintet,First Down,2010,English,wellyouneednterniestadlerjazzquintetfirstdown
m5_2,7,9,462000,Just Like Tom Thumb's Blues (live),Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English,justliketomthumbsblueswendysaddingtonblueswomenanthologyvolume7
m5_3,6842,4,195000,Στα καμένα,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek,στακαμέναλαυρέντηςμαχαιρίίτσαςσυλλογήδίφωνο22μουσικοίβιότοποι
m5_4,5568,6,188400,,Anathema,Alternative 4,1998,English,#anathemaalternative4
m5_5,8,23,129000,El Vaquero Chido (The Cool Cowboy),Byron Brizuela & Enrique Carbajal,Mexico,,English,elvaquerochidobyronbrizuela&enriquecarbajalmexico
m5_6,13,16,263497,Gimme Dat (remix),Rye Rye,RYEot powRR,2011,English,gimmedatryeryeryeotpowrr
m5_7,3385,5,26 6000,En dless Love,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English,endlesslovedianaross&lionelrichiemotown50yesterdaytodayforever
m5_8,7301,13,78000,Tuning,The Doros,Live in Vancouver 1970,2010,English,tuningthedorosliveinvancouver1970
m5_9,4960,4,388826,Thunder Underground,Ozzy Osbourne,Ozzmosis,2002,English,thunderundergroundozzyosbourneozzmosis
m5_10,6133,7,69000,闇に笑ふ,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese,闇に笑ふ服部隆之スレイヤーズthemotionpicture
m5_11,28,6,230893,hWeels of FIRE,Saints & Sinners,Saints & Sinners,,,hweelsoffiresaints&sinnerssaints&sinners
m5_12,30,13,157533,Charlie Walker,Charlie Walker,Pick Me Up on Your Way Down,,,charliewalkercharliewalkerpickmeuponyourwaydown
m5_13,4407,3,287000,Jivin' (in a Jump Swing Band),Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English,jivinkamikazemustangpilotkamikazemustangpilot
m5_14,31,11,210120,It's a Heartache,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English,itsaheartachebonnietylerseventiestop100volume2
m5_15,32,20,201400,Comme ça tu veux un gun ? Tu trouves ça l'fun !,KC L.M.N.O.P.,Ta yeul…,1996,French,commeçatuveuxunguntutrouvesçalfunkclmnoptayeul…
m5_16,1949,18,92960,Implantation,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese,implantationtomosukeguitarfreaks3rdmix&drummania2ndmixsoundtracks
m5_17,33,33,30000,Sea Breeze (full mix),Burgo & David Haig,Massive - Rock/Pop,,Englih,seabreezeburgo&davidhaigmassiverockpop
m5_18,9318,67,30000,,Stephan Sechi,Funk,,English,#stephansechifunk
m5_19,3713,4,195466,Ten Million Teardrops,Jason McCoy,Honky Tonk Sonatas,2001,English,tenmillionteardropsjasonmccoyhonkytonksonatas
m5_20,49,4,330946,Red Chips,,The Working Model (Reverse),2003,English,redchips#theworkingmodel
m5_21,8684,A3,267693,La Fessée,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French,lafesséegeorgesbrassensvolume9suppliquepourêtreenterréàlaplagedesète
m5_22,56,2,181000,Ronin on Air,Younnat,Radiovision,,English,roninonairyounnatradiovision
m5_23,59,5,420000,Nefes (live in Bodrum),Telvin,Telvin,2006,Turkish,nefestelvintelvin
m5_24,65,11,182840,Apache (instrumental),Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages],apacheagents&vesahaajaonstageinstudio
m5_25,67,10,212000,***,Wind Hearse,Witch's Arrows,,English,***windhearsewitchsarrows
m5_26,1349,7,187986,STP,Sublime,Everything Under the Sun,2006,English,stpsublimeeverythingunderthesun
m5_27,71,6,263543,Broken,Amber Claire,Love and Such,2004,English,brokenamberclaireloveandsuch
m5_28,77,11,158000,Bloque Metafísico: La proporción y las distancias,Macromassa,Los hechos Pérez,1993,Spanish,bloquemetafísicolaproporciónylasdistanciasmacromassaloshechospérez
