m3_id,m3_cid,m3_number,m3_length,m3_title,m3_artist,m3_album,m3_year,m3_language,m3_filtering_attr
m3_0,5,6,,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",Neil Young,,,English,try20080215legrandrexparisfranceneilyoung#
m3_1,3118,6,4.367,Cállate - Los vaqueros: el regreso: Deluxe Edition,Wisin & Yandel,,'11,Spanish,cállatelosvaqueroselregresodeluxeeditionwisin&yandel#
m3_2,5893,9,3.085,Fish Tail Blues - The King & Mister Jelly Lord,Jelly Roll Morton,,'89,English,fishtailbluestheking&misterjellylordjellyrollmorton#
m3_3,519,13,4.567,Mu sõber tuul - Uus Laine,Laine,,'00,Estonian,musõbertuuluuslainelaine#
m3_4,25,2,12.3,Fried Bananas - Live at the Amsterdam Paradiso,Dexter Gordon,,'94,English,friedbananasliveattheamsterdamparadisodextergordon#
m3_5,2175,5,3.833,Bury Me (demo) - Finch,Finch,,'08,English,burymefinchfinch#
m3_6,7765,5,5.025,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,Jerry Rivera,,'97,Spanish,yoquisieraserelcóndoryanosoyelniñoaqueljerryrivera#
m3_7,34,7,8.542,Introduction et Variations sur une Ronde Populaire - Encore!,Gabriel Pierné,,'98,Engilsh,introductionetvariationssurunerondepopulaireencoregabrielpierné#
m3_8,6393,6,2.895,Le Marchand de Poisson - Planet Jazz,Sidney Bechet,,,[Multiple languages],lemarchanddepoissonplanetjazzsidneybechet#
m3_9,8711,1,4.722,"Mind 2 Motion - Bluffers Guide, Volume 6",Roots Manuva,,'05,English,mind2motionbluffersguidevolume6rootsmanuva#
m3_10,9109,2,5.417,Who Dat Girl (Promise Land club mix),Flo Rida feat. Akon,Dat Girl,'10,English,whodatgirlfloridafeatakondatgirl
m3_11,44,13,2.642,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",Lovett Sisters,,'01,English,idontwanttosettheworldonfirethegalsofthebigdjamboreelovettsisters#
m3_12,8013,4,2.609,Got to Hurry (take 4) - The Yardbirds Story,Yardbirds,,'02,English,gottohurrytheyardbirdsstoryyardbirds#
m3_13,47,8,0.85,Mindsweeping - Cinematograph,Scrooge,,'97,[Multiple languages],mindsweepingcinematographscrooge#
m3_14,50,10,4.283,Mi apuesta - Es,Eruca Sativa,,'10,Spanish,miapuestaeserucasativa#
m3_15,444,3,4.359,Little for a Lot - Four Winds the Walker,Spires That in the Sunset Rise,,'05,English,littleforalotfourwindsthewalkerspiresthatinthesunsetrise#
m3_16,5733,4,3.1,The Solid Rock - World's Greatest Praise & Worship,Edward Mote & William B. Bradbury,,,English,thesolidrockworldsgreatestpraise&worshipedwardmote&williambbradbury#
m3_17,54,2,2.981,Why Not - The Lizzi eMcGuire Movie,Hilary Duff,,' 03,English,whynotthelizziemcguiremoviehilaryduff#
m3_18,60,53,0.104,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,マリア starring 田中理恵,,'07,Japanese,慈愛の言葉集日常会話篇「ハヤテのごとく」キャラクターcd2マリアstarring田中理恵#
m3_19,9645,12,4.033,Butta-Few-Co - This Is My First Album,Kwest Tha Madd Lad,,'96,English,buttafewcothisismyfirstalbumkwestthamaddlad#
m3_20,1215,6,4.167,Gitme Durnam - Gurbeti Ben mi Yarattım,Arif Sağ,,'98,Turkish,gitmedurnamgurbetibenmiyarattımarifsağ#
m3_21,69,1,3.539,Disorsder - Unknown Pleasures,Joy Division,,'88,English,disorsderunknownpleasuresjoydivision#
m3_22,4877,2,3.083,Central Booking - Febuary,Bishop Allen,,'06,English,centralbookingfebuarybishopallen#
m3_23,80,6,1.535,Haste Suraj Ki - Dil Ka Rishta,Nadeem-Shravan,,'05,Hindi,hastesurajkidilkarishtanadeemshravan#
m3_24,8956,5,3.554,Won't Be Long - The Best of Tracy Nelson & Mother Earth,Tracy Nelson,,,English,wontbelongthebestoftracynelson&motherearthtracynelson#
m3_25,88,6,1.217,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,Cherokee National Youth Choir,,'05,English,hymn48cherokeesundaymorningcherokeenationalyouthchoir#
m3_26,5278,6,,Perdimos algo - Canciones inéditas,Cecilia,,'92,Spanish,perdimosalgocancionesinéditascecilia#
m3_27,95,4,5.617,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4","Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T",,'04,English,slowloudandbanginslowloudandbanginvolume4traejaytonlilblilbossbillycookbigbeebillykepoe&lilt#
m3_28,99,8,3.75,Closing - Urban Mantra,Wah!,,'02,English,closingurbanmantrawah#
m3_29,100,1,4.202,Astronomy Domine - The Piper at the Gates of Dawn,Pink Floyd,,'87,English,astronomydominethepiperatthegatesofdawnpinkfloyd#
m3_30,103,11,5.583,Je me rappelle d’une époque - Suicide commercial,Vrai Ben feat. Yahlane,,'09,French,jemerappelled’uneépoquesuicidecommercialvraibenfeatyahlane#
m3_31,5439,6,6.283,Count Every Star - Jazz Chillout,Grant Green,,'02,English,counteverystarjazzchilloutgrantgreen#
m3_32,111,5,4.25,When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams,Jerry Williams,,'07,Eglish,whenthesummerisgoneicanjivedetbästamedjerrywilliamsjerrywilliams#
m3_33,114,4,5.818,Rockin' Back Inside My Heart - Floating Into the Night,Julee Cruise,,,English,rockinbackinsidemyheartfloatingintothenightjuleecruise#
m3_34,115,16,1.367,"Arabella, Op. 79: Act II. ""Sie sehn nicht aus wie jemand"" - Arabella (Wiener Philharmoniker feat. conductor: Sir Georg Solti, soprano: Lisa della Casa)",Richard Strauss,,'98,English,arabellaop79actiisiesehnnichtauswiejemandarabellarichardstrauss#
m3_35,120,4,5.012,What Is This Thing Called Love? - Cutting Edge 1 & 2,Delirious?,,'94,English,whatisthisthingcalledlovecuttingedge1&2delirious#
m3_36,9612,3,3.984,I_Always_Was_Your_Girl_-_Idlewild,Everything but the Girl,,'12,English,ialwayswasyourgirlidlewildeverythingbutthegirl#
m3_37,121,10,3.516,Unde rthe Sun - Modern,Buzzcocks,,'99,English,underthesunmodernbuzzcocks#
m3_38,123,8,,The Way We Get By - The O.C. - The Best of Season 1,Spoon,,,English,thewaywegetbytheocthebestofseason1spoon#
m3_39,8833,5,5.019,Laß mich allein allein - Frisch gepresst & Live,Jazzkantine,,'96,German,laßmichalleinalleinfrischgepresst&livejazzkantine#
m3_40,126,11,2.183,Ludwika: Prélude Opus 28 No.23 - The Four Elements: Water Sensuality,Hans Visser,,,,ludwikapréludeopus28no23thefourelementswatersensualityhansvisser#
m3_41,9657,4,3.533,Wicked Horse - Mercy Lnd,Sea Lion,,'11,English,wickedhorsemercylndsealion#
m3_42,129,13,5.67,If There Is No Tomorrow (remixed by CygnosiC) - The Grey Line,Wynardtage,,'08,English,ifthereisnotomorrowthegreylinewynardtage#
m3_43,8907,12,1.517,Monkey Mike - Game Plan,Dubee & Mike D,,'01,English,monkeymikegameplandubee&miked#
m3_44,133,4,4.05,Ghosttow - The Hearing and the Sense of Balance,Fury in the Slaughterhouse,,'95,English,ghosttowthehearingandthesenseofbalancefuryintheslaughterhouse#
m3_45,137,6,2.35,On the Stairs - The Killer Elite,Jerry Fielding,,,English,onthestairsthekillerelitejerryfielding#
m3_46,1459,16,2.025,Quest - T Dredz+,Dredz T,,'12,,questtdredz+dredzt#
m3_47,139,4,4.343,Vergeet Het Maar - De Kreuners,De Kreuners,,,,vergeethetmaardekreunersdekreuners#
m3_48,142,20,2.221,kanashimi wo koete - D.N.Angel Original Soundtrack I,江口貴勅,,'03,Japanese,kanashimiwokoetednangeloriginalsoundtracki江口貴勅#
m3_49,1183,10,3.62,Sigonella - Ho sognato una strada,Ivano  Fossati,,'06,Italian,sigonellahosognatounastradaivanofossati#
m3_50,143,7,3.987,If - Tesla,Silver Rocket,,'08,English,ifteslasilverrocket#
m3_51,1688,15,12.883,Duel in the Sun - The Alamo: The Essential Film Music Collection,Dimitri Tiomkin,,'04,English,duelinthesunthealamotheessentialfilmmusiccollectiondimitritiomkin#
m3_52,3976,2,4.41,"A Vava Inouva 2 - Deux rives, un rêve",Idir,,'02,,avavainouva2deuxrivesunrêveidir#
m3_53,147,9,,(Watch Out for) The Normal People - A Tonic for the Troops,English,,'78,English,thenormalpeopleatonicforthetroopsenglish#
m3_54,148,15,3.617,Du finns hos mig - Kollektion,Ratata,,'06,Swedish,dufinnshosmigkollektionratata#
m3_55,149,3,2.833,September in the Rain - The Ralph Sharon Trio Plays the Harry Warren Songbook,Ralph Sharon Trio,,,English,septemberintheraintheralphsharontrioplaystheharrywarrensongbookralphsharontrio#
m3_56,7690,2,3.58,I Can't Get Started - Autumn in New York: Vernon Duke's Broadway,lea Blackhurst,,'05,English,icantgetstartedautumninnewyorkvernondukesbroadwayleablackhurst#
m3_57,154,7,8.27,"It's All Too Much (mono) - vEery Little Thing, Volume 2",Beatles,,,English,itsalltoomuchveerylittlethingvolume2beatles#
m3_58,155,1,,Jewel Thief - Jewel Thief / Flyer Manz,Sukh Knight,,'10,English,jewelthiefjewelthiefflyermanzsukhknight#
m3_59,4989,14,4.132,"Antares - Time Changes, Times Change",Jim Norman/Grafite,,,English,antarestimechangestimeschangejimnormangrafite#
m3_60,1813,11,2.181,Voit pois jo mennä... - Lauluja,Marita Antsola,,'13,Finnish,voitpoisjomennälaulujamaritaantsola#
m3_61,8855,6,4.692,Sing Along - Home This Year,Virginia Coalition,,'08,English,singalonghomethisyearvirginiacoalition#
m3_62,7704,1,,Fui un extraño - Alianza,Alianza,,'97,Spanish,fuiunextrañoalianzaalianza#
m3_63,5126,2,3.917,Tô Com Saudade - Uma História Assim (Ao Vivo),Rodriguinho,,'09,Portuguese,tôcomsaudadeumahistóriaassimrodriguinho#
m3_64,172,17,2.817,Perdóname - Motivando a la yal,Zion y Lennox,,'04,'04,perdónamemotivandoalayalzionylennox#
m3_65,173,5,2.965,Let's Do It (Let's Fall in Love) - Midnight in Paris: Music From the Motion Picture,Conal Fowkes,,'11,[Multiple languages],letsdoitmidnightinparismusicfromthemotionpictureconalfowkes#
m3_66,719,56,0.167,FUU... (GAME OVER) - MEGA DRIVE LAST ACTION HEROES,幡谷尚史,,'10,English,fuumegadrivelastactionheroes幡谷尚史#
m3_67,175,9,6.97,Geltendes Recht - Projekt Aaskereia,Projekt Aaskereia,,,German,geltendesrechtprojektaaskereiaprojektaaskereia#
m3_68,1661,8,,"(feat. (feat. DJ OASIS, 童子-T) - 理由",K Dub Shine,,'04,Japanese,理由kdubshine#
m3_69,9366,10,3.568,"Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: ""Domine Jesu"" - Requiem & Kyrie D-Moll (Gächinger Kantorei Stuttgart, Bach-Collegium Stuttgart feat. conductor: Helmuth Rilling)",Wolfgang Amadeus Mozart,,'00,English,requiemindminork626wolfgangamadeusmozart#
m3_70,9656,10,3.959,Paolo Fresu / Tutto E Il Contrario Di Tutto - Mélos,Paolo Fresu Quintet,,,,paolofresututtoeilcontrariodituttomélospaolofresuquintet#
m3_71,179,1,5.65,Il Dorment - frannce,Altar K,,'07,jFrench,ildormentfranncealtark#
m3_72,6662,A3,2.65,The Rose and the Cross - Moog Indigo,Jean-Jcques Perrey,,'70,English,theroseandthecrossmoogindigojeanjcquesperrey#
m3_73,185,5,2.531,'s Wonderful - Great Ladies and Gents of Jazz,Sarah Vaughan,,'99,English,swonderfulgreatladiesandgentsofjazzsarahvaughan#
m3_74,6060,7,4.233,So in Love With You - Share Your Love,Kenny Rogers,,'81,English,soinlovewithyoushareyourlovekennyrogers#
m3_75,189,66,0.133,Brass Flutter Wop - Production Tools 1,Lisle Moore,,,English,brassflutterwopproductiontools1lislemoore#
m3_76,9091,12,5.17,Angels Guard Thee - The Essential Dyke,Black Dyke Band,,'94,English,angelsguardtheetheessentialdykeblackdykeband#
m3_77,282,2,2.633,Almost Like Being in Love - The Chronological Classics: Charlie Parker 1952-1954,Charlie Parker,,,English,almostlikebeinginlovethechronologicalclassicscharlieparker19521954charlieparker#
