m3pp_id,m3pp_cid,m3pp_number,m3pp_length,m3pp_title,m3pp_artist,m3pp_album,m3pp_year,m3pp_language,m3pp_filtering_attr
m3pp_0,5,6,-1,Try (acoustic),Neil Young,"2008-02-15: Le Grand Rex, Paris, France",,English,try20080215legrandrexparisfranceneilyoung#
m3pp_1,3118,6,262,Cállate,Wisin & Yandel,Los vaqueros: el regreso: Deluxe Edition,'11,Spanish,cállatelosvaqueroselregresodeluxeeditionwisin&yandel#
m3pp_2,5893,9,185,Fish Tail Blues,Jelly Roll Morton,The King & Mister Jelly Lord,'89,English,fishtailbluestheking&misterjellylordjellyrollmorton#
m3pp_3,519,13,274,Mu sõber tuul,Laine,Uus Laine,'00,Estonian,musõbertuuluuslainelaine#
m3pp_4,25,2,738,Fried Bananas,Dexter Gordon,Live at the Amsterdam Paradiso,'94,English,friedbananasliveattheamsterdamparadisodextergordon#
m3pp_5,2175,5,229,Bury Me (demo),Finch,Finch,'08,English,burymefinchfinch#
m3pp_6,7765,5,301,Yo Quisiera Ser El Cóndor,Jerry Rivera,Ya No Soy El Niño Aquel,'97,Spanish,yoquisieraserelcóndoryanosoyelniñoaqueljerryrivera#
m3pp_7,34,7,512,Introduction et Variations sur une Ronde Populaire,Gabriel Pierné,Encore!,'98,Engilsh,introductionetvariationssurunerondepopulaireencoregabrielpierné#
m3pp_8,6393,6,173,Le Marchand de Poisson,Sidney Bechet,Planet Jazz,,[Multiple languages],lemarchanddepoissonplanetjazzsidneybechet#
m3pp_9,8711,1,283,Mind 2 Motion,Roots Manuva,"Bluffers Guide, Volume 6",'05,English,mind2motionbluffersguidevolume6rootsmanuva#
m3pp_10,9109,2,325,Who Dat Girl (Promise Land club mix),Flo Rida feat. Akon,Who Dat Girl (Promise Land club mix),'10,English,whodatgirlfloridafeatakondatgirl
m3pp_11,44,13,158,I Don't Want to Set the World on Fire,Lovett Sisters,"The Gals of the Big ""D"" Jamboree",'01,English,idontwanttosettheworldonfirethegalsofthebigdjamboreelovettsisters#
m3pp_12,8013,4,156,Got to Hurry (take 4),Yardbirds,The Yardbirds Story,'02,English,gottohurrytheyardbirdsstoryyardbirds#
m3pp_13,47,8,51,Mindsweeping,Scrooge,Cinematograph,'97,[Multiple languages],mindsweepingcinematographscrooge#
m3pp_14,50,10,256,Mi apuesta,Eruca Sativa,Es,'10,Spanish,miapuestaeserucasativa#
m3pp_15,444,3,261,Little for a Lot,Spires That in the Sunset Rise,Four Winds the Walker,'05,English,littleforalotfourwindsthewalkerspiresthatinthesunsetrise#
m3pp_16,5733,4,186,The Solid Rock,Edward Mote & William B. Bradbury,World's Greatest Praise & Worship,,English,thesolidrockworldsgreatestpraise&worshipedwardmote&williambbradbury#
m3pp_17,54,2,178,Why Not,Hilary Duff,The Lizzi eMcGuire Movie,' 03,English,whynotthelizziemcguiremoviehilaryduff#
m3pp_18,60,53,6,慈愛の言葉集/日常会話篇,マリア starring 田中理恵,「ハヤテのごとく!」 キャラクターCD 2,'07,Japanese,慈愛の言葉集日常会話篇「ハヤテのごとく」キャラクターcd2マリアstarring田中理恵#
m3pp_19,9645,12,241,Butta-Few-Co,Kwest Tha Madd Lad,This Is My First Album,'96,English,buttafewcothisismyfirstalbumkwestthamaddlad#
m3pp_20,1215,6,250,Gitme Durnam,Arif Sağ,Gurbeti Ben mi Yarattım,'98,Turkish,gitmedurnamgurbetibenmiyarattımarifsağ#
m3pp_21,69,1,212,Disorsder,Joy Division,Unknown Pleasures,'88,English,disorsderunknownpleasuresjoydivision#
m3pp_22,4877,2,184,Central Booking,Bishop Allen,Febuary,'06,English,centralbookingfebuarybishopallen#
m3pp_23,80,6,92,Haste Suraj Ki,Nadeem-Shravan,Dil Ka Rishta,'05,Hindi,hastesurajkidilkarishtanadeemshravan#
m3pp_24,8956,5,213,Won't Be Long,Tracy Nelson,The Best of Tracy Nelson & Mother Earth,,English,wontbelongthebestoftracynelson&motherearthtracynelson#
m3pp_25,88,6,73,Hymn 48 (Jesus Is King),Cherokee National Youth Choir,Cherokee Sunday Morning,'05,English,hymn48cherokeesundaymorningcherokeenationalyouthchoir#
m3pp_26,5278,6,-1,Perdimos algo,Cecilia,Canciones inéditas,'92,Spanish,perdimosalgocancionesinéditascecilia#
