ids,l_id,r_id,label,length_lev_sim,length_jac_q3_sim,length_jac_an_sim,length_exact_sim,length_all_missing,year_lev_sim,year_jac_q3_sim,year_jac_an_sim,year_exact_sim,year_all_missing,number_lev_sim,number_jac_q3_sim,number_jac_an_sim,number_exact_sim,number_all_missing,album_lev_sim,album_jac_q3_sim,album_jac_an_sim,album_exact_sim,album_all_missing,language_lev_sim,language_jac_q3_sim,language_jac_an_sim,language_exact_sim,language_all_missing,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_exact_sim,title_all_missing,artist_lev_sim,artist_jac_q3_sim,artist_jac_an_sim,artist_exact_sim,artist_all_missing
m5_2490_m3_2632,m5_2490,m3_2632,0,0.16666666666666663,0.07142857142857142,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.19999999999999996,0.0,0.0,0,0,0.11428571428571432,0.0,0.0,0,0,0.1428571428571429,0.0,0.0,0,0
m5_3312_m3_1045,m5_3312,m3_1045,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,0.18604651162790697,0.017543859649122806,0.0,0,0,0.09090909090909094,0.0,0.0,0,0
m5_1193_m3_2048,m5_1193,m3_2048,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.1428571428571429,0.06666666666666667,0.0,0,0,0.15625,0.0,0.0,0,0,0.1428571428571429,0.0,0.0,0,0
m5_187_m3_1237,m5_187,m3_1237,0,0.16666666666666663,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,1,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,-1.0,-1.0,-1.0,-1,0,0.14893617021276595,0.0,0.0,0,0,0.08333333333333337,0.0,0.0,0,0
m5_2645_m3_2739,m5_2645,m3_2739,0,-1.0,-1.0,-1.0,-1,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,-1.0,-1.0,-1.0,-1,0,0.25,0.12903225806451613,0.0,0,0,0.2142857142857143,0.0,0.0,0,0
m5_1344_m3_2226,m5_1344,m3_2226,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,-1.0,-1.0,-1.0,-1,0,0.2068965517241379,0.18421052631578946,0.16666666666666666,0,0,-1.0,-1.0,-1.0,-1,0
m5_1589_m3_3637,m5_1589,m3_3637,0,0.16666666666666663,0.08333333333333333,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.19999999999999996,0.0,0.0,0,0,0.15887850467289721,0.04020100502512563,0.029411764705882353,0,0,0.9583333333333334,0.8888888888888888,0.5,0,0
m5_3726_m3_2141,m5_3726,m3_2141,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.15000000000000002,0.0,0.0,0,0,0.21276595744680848,0.13740458015267176,0.09523809523809523,0,0,0.9047619047619048,0.5862068965517241,1.0,0,0
m5_3006_m3_2899,m5_3006,m3_2899,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.08510638297872342,0.0,0.0,0,0,0.08333333333333337,0.0,0.0,0,0
m5_582_m3_366,m5_582,m3_366,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.12903225806451613,0.0,0.0,0,0,0.05882352941176472,0.0,0.0,0,0
m5_2267_m3_184,m5_2267,m3_184,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.5,0.16666666666666666,0.0,0,0,0.19512195121951215,0.15517241379310345,0.18181818181818182,0,0,0.875,0.7272727272727273,0.0,0,0,0.19512195121951215,0.16666666666666666,0.23076923076923078,0,0,0.1875,0.0,0.0,0,0
m5_945_m3_1270,m5_945,m3_1270,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0,0,0.5,0.16666666666666666,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.875,0.5833333333333334,0.0,0,0,0.23809523809523814,0.0847457627118644,0.1111111111111111,0,0,0.1333333333333333,0.0,0.0,0,0
m5_2717_m3_2928,m5_2717,m3_2928,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.15000000000000002,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0
m5_945_m3_3125,m5_945,m3_3125,0,0.33333333333333337,0.07142857142857142,0.0,0,0,0.5,0.0,0.0,0,0,0.5,0.16666666666666666,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.875,0.5833333333333334,0.0,0,0,0.24561403508771928,0.0547945205479452,0.09090909090909091,0,0,0.0,0.0,0.0,0,0
m5_2410_m3_2272,m5_2410,m3_2272,0,0.16666666666666663,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.5,0.14285714285714285,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.125,0.0,0.0,0,0,0.5882352941176471,0.47619047619047616,1.0,0,0,0.0,0.0,0.0,0,0
m5_1891_m3_3215,m5_1891,m3_3215,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0,0,0.5,0.14285714285714285,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.024390243902439046,0.0,0.0,0,0,0.06896551724137934,0.0,0.0,0,0
m5_3268_m3_1460,m5_3268,m3_1460,0,-1.0,-1.0,-1.0,-1,0,0.25,0.1,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.17543859649122806,0.0,0.0,0,0,0.2666666666666667,0.10714285714285714,0.0,0,0
m5_543_m3_963,m5_543,m3_963,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.11627906976744184,0.0,0.0,0,0,0.15384615384615385,0.0,0.0,0,0
m5_1855_m3_1899,m5_1855,m3_1899,0,0.16666666666666663,0.07142857142857142,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.5,0.16666666666666666,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.2325581395348837,0.11538461538461539,0.125,0,0,0.07692307692307687,0.0,0.0,0,0
m5_3636_m3_920,m5_3636,m3_920,0,0.16666666666666663,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.275,0.17391304347826086,0.0,0,0,0.1785714285714286,0.023255813953488372,0.0,0,0
m5_2025_m3_1996,m5_2025,m3_1996,0,0.16666666666666663,0.08333333333333333,0.0,0,0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.17105263157894735,0.01834862385321101,0.0,0,0,0.1875,0.0,0.0,0,0
m5_1951_m3_2399,m5_1951,m3_2399,0,0.33333333333333337,0.07142857142857142,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.5,0.16666666666666666,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.29032258064516125,0.017543859649122806,0.0,0,0,0.0,0.0,0.0,0,0
m5_789_m3_1172,m5_789,m3_1172,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,1,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,-1.0,-1.0,-1.0,-1,0,0.004901960784313708,0.0,0.0,0,0,1.0,1.0,1.0,1,0
m5_2286_m3_488,m5_2286,m3_488,0,0.16666666666666663,0.0,0.0,0,0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.1470588235294118,0.0,0.0,0,0,0.2666666666666667,0.0,0.0,0,0
m5_892_m3_1687,m5_892,m3_1687,0,0.16666666666666663,0.07142857142857142,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,1.0,1.0,1.0,1,0,0.19999999999999996,0.0,0.0,0,0,0.09090909090909094,0.0,0.0,0,0
