id,label,sum_weighted_sim,sum_sim,title_no_par_no_stop_words_lev_sim,title_no_par_no_stop_words_jac_q3_sim,title_no_par_no_stop_words_jac_an_sim,title_no_par_no_stop_words_exact_sim,title_no_par_no_stop_words_all_missing,pages_num_abs_diff_sim,pages_num_sim,pages_all_missing,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_exact_sim,title_all_missing,title_no_par_lev_sim,title_no_par_jac_q3_sim,title_no_par_jac_an_sim,title_no_par_exact_sim,title_no_par_all_missing,pubdate_days_sim,pubdate_years_sim,pubdate_days_diff_sim,pubdate_all_missing,binding_exact_sim,binding_all_missing,firstauthor_lev_sim,firstauthor_jac_q3_sim,firstauthor_jac_an_sim,firstauthor_exact_sim,firstauthor_all_missing,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_exact_sim,publisher_all_missing
bx_94451_half_252,0,0.09745975235473156,0.09990215553381472,0.08571428571428574,0.0,0.0,0.0,0,-1.0,-1.0,0,0.10810810810810813,0.0,0.0,0,0,0.08108108108108103,0.0,0.0,0.0,0,0.0,0.0,0.9019229709625874,0,-1.0,0,0.631578947368421,0.4444444444444444,0.3333333333333333,0.0,0,0.1578947368421053,0.0,0.0,0,0
bx_20376_half_2140,0,0.08419729286042132,0.08675601893423138,0.17647058823529416,0.0,0.0,0.0,0,-1.0,-1.0,0,0.15217391304347827,0.0,0.0,0,0,0.11764705882352945,0.0,0.0,0.0,0,0.0,0.0,0.9519119510716844,0,-1.0,0,0.6428571428571428,0.3478260869565217,0.0,0.0,0,0.058823529411764726,0.0,0.0,0,0
bx_80738_half_2554,0,0.15415666022129024,0.15616606964230384,0.1351351351351351,0.0,0.0,0.0,0,-1.0,-1.0,0,0.16216216216216214,0.0,0.0,0,0,0.16216216216216214,0.0,0.0,0.0,0,0.0,1.0,0.99413190809411,0,-1.0,1,0.6666666666666667,0.3636363636363637,0.3333333333333333,0.0,0,0.15384615384615385,0.0,0.0,0,0
bx_162598_half_897,0,0.12666154670617527,0.127338838160499,0.21739130434782605,0.0,0.0,0.0,0,-1.0,-1.0,0,0.2424242424242425,0.06557377049180327,0.09090909090909093,0,0,0.33333333333333337,0.0784313725490196,0.1,0.0,0,0.0,0.0,0.8939197751942256,0,-1.0,1,0.5833333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.04761904761904767,0.0,0.0,0,0
bx_90682_half_2717,0,0.12578032357744445,0.1265672397247977,0.1724137931034483,0.0,0.0,0.0,0,-1.0,-1.0,0,0.2380952380952381,0.07017543859649122,0.1,0,0,0.2380952380952381,0.07017543859649122,0.1,0.0,0,0.0,0.0,0.9772990247396552,0,-1.0,1,0.5,0.3448275862068966,0.3333333333333333,0.0,0,0.1578947368421053,0.0,0.0,0,0
bx_73852_half_406,0,0.14276021964924954,0.14508112812687368,0.2142857142857143,0.0,0.0,0.0,0,-1.0,-1.0,0,0.1842105263157895,0.0,0.0,0,0,0.16666666666666666,0.0,0.0,0.0,0,0.0,0.0,0.9513196319356438,0,-1.0,0,0.6428571428571428,0.4090909090909091,0.3333333333333333,0.0,0,0.3888888888888888,0.2222222222222222,0.25,0,0
bx_228757_half_256,0,0.1504277112443181,0.1527476827374166,0.1818181818181817,0.0,0.0,0.0,0,-1.0,-1.0,0,0.2,0.06779661016949153,0.1111111111111111,0,0,0.3888888888888888,0.1176470588235294,0.14285714285714285,0.0,0,0.0,0.0,0.976114386467574,0,-1.0,0,0.6666666666666667,0.4,0.3333333333333333,0.0,0,0.2857142857142857,0.06382978723404255,0.0,0,0
bx_223899_half_1143,0,0.10465429997055302,0.10543212481924208,0.1333333333333333,0.0,0.0,0.0,0,-1.0,-1.0,0,0.16666666666666666,0.0,0.0,0,0,0.16666666666666666,0.0,0.0,0.0,0,0.0,0.0,0.9013031020992892,0,-1.0,1,0.6111111111111112,0.3703703703703704,0.3333333333333333,0.0,0,0.1428571428571429,0.0,0.0,0,0
bx_229375_half_2311,0,0.1113044151133988,0.11207561323326927,0.09090909090909094,0.0,0.0,0.0,0,-1.0,-1.0,0,0.09523809523809523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9201746652708138,0,-1.0,1,0.5789473684210527,0.35714285714285715,0.3333333333333333,0.0,0,0.32352941176470584,0.13333333333333333,0.14285714285714285,0,0
bx_230685_half_2830,0,0.10163014599313892,0.1024293030943356,0.1428571428571429,0.0,0.0,0.0,0,-1.0,-1.0,0,0.13636363636363635,0.0,0.0,0,0,0.13636363636363635,0.0,0.0,0.0,0,0.0,0.0,0.9078323874593641,0,-1.0,1,0.625,0.4166666666666667,0.25,0.0,0,0.1428571428571429,0.0,0.0,0,0
bx_264090_half_1079,0,0.12274038380921007,0.12341601985198385,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0,0.3529411764705882,0.0967741935483871,0.1111111111111111,0,0,0.2857142857142857,0.14814814814814814,0.25,0.0,0,0.0,0.0,0.8909857292412805,0,-1.0,1,0.5454545454545454,0.3,0.25,0.0,0,0.0,0.0,0.0,0,0
